,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
3627,IndiGo,1/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,8542
6492,Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,04:25 28 Mar,20h 25m,1 stop,In-flight meal not included,6645
5082,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,21:20,14h 15m,2 stops,No info,7084
8802,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,23:25,16h 55m,1 stop,In-flight meal not included,8824
4820,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,12:00 25 Mar,16h 15m,1 stop,In-flight meal not included,11134
794,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,19:00 19 May,29h 35m,2 stops,No info,16704
2868,SpiceJet,3/04/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 04 Apr,2h 55m,non-stop,No check-in baggage included,3919
2323,IndiGo,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 13 Jun,8h,1 stop,No info,6104
1127,Air India,9/06/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,23:15,17h 25m,2 stops,No info,12723
828,Jet Airways,1/04/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544
334,SpiceJet,24/05/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 25 May,2h 55m,non-stop,No info,3971
6354,IndiGo,3/03/2019,Delhi,Cochin,DEL ? BLR ? COK,02:00,07:45,5h 45m,1 stop,No info,9257
9172,Vistara,9/04/2019,Banglore,Delhi,BLR ? DEL,07:00,09:40,2h 40m,non-stop,No info,5403
9387,Air India,24/03/2019,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,14:35 25 Mar,24h,1 stop,No info,6241
7939,IndiGo,15/05/2019,Kolkata,Banglore,CCU ? PAT ? BLR,09:20,14:15,4h 55m,1 stop,No info,11319
3026,Vistara,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45 10 May,14h 25m,1 stop,No info,8452
64,Vistara,24/05/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3687
3405,Air Asia,12/04/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,4483
4217,IndiGo,15/04/2019,Banglore,Delhi,BLR ? DEL,21:15,00:15 16 Apr,3h,non-stop,No info,3943
1017,Jet Airways,21/04/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,7229
10624,Vistara,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 07 Jun,26h 20m,1 stop,No info,8662
7848,Jet Airways,15/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229
502,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,04:25 19 May,21h 20m,1 stop,In-flight meal not included,12373
1078,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,22:20,12h 35m,1 stop,No info,13838
9041,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13727
10131,IndiGo,15/05/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 16 May,5h 45m,1 stop,No info,7189
8053,Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,No info,12192
2050,SpiceJet,27/05/2019,Kolkata,Banglore,CCU ? BLR,06:55,09:30,2h 35m,non-stop,No info,3873
1513,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,1840
5265,Vistara,21/05/2019,Banglore,Delhi,BLR ? DEL,17:00,19:35,2h 35m,non-stop,No info,4878
9728,Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,6478
8139,Air Asia,9/05/2019,Delhi,Cochin,DEL ? BLR ? COK,16:45,22:25,5h 40m,1 stop,No info,6752
2934,Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 10 Jun,6h 30m,1 stop,No info,7530
5643,IndiGo,1/05/2019,Banglore,Delhi,BLR ? DEL,23:30,02:20 02 May,2h 50m,non-stop,No info,4591
6125,Air India,21/05/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667
4679,IndiGo,12/05/2019,Delhi,Cochin,DEL ? COK,21:05,00:20 13 May,3h 15m,non-stop,No info,8626
8937,IndiGo,01/03/2019,Banglore,New Delhi,BLR ? DEL,13:00,15:50,2h 50m,non-stop,No info,19685
10023,Jet Airways,9/05/2019,Mumbai,Hyderabad,BOM ? HYD,02:55,04:20,1h 25m,non-stop,No info,5678
7270,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 02 Jun,15h 25m,1 stop,In-flight meal not included,10262
6816,Air India,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,16:15,6h 15m,1 stop,No info,10203
1612,IndiGo,6/04/2019,Banglore,Delhi,BLR ? DEL,06:05,08:50,2h 45m,non-stop,No info,4423
10680,Jet Airways,27/04/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,7229
2936,Vistara,24/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,00:05 25 Mar,2h 55m,non-stop,No info,6558
2295,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,13504
6142,SpiceJet,15/06/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
5269,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,12717
2864,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,19:00 07 Jun,27h,1 stop,No info,14714
3858,Air India,18/05/2019,Kolkata,Banglore,CCU ? BOM ? HBX ? BLR,09:25,18:20,8h 55m,2 stops,No info,8366
5712,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,04:25 02 Jun,8h 25m,2 stops,In-flight meal not included,15318
6287,Vistara,15/04/2019,Banglore,Delhi,BLR ? DEL,21:00,23:50,2h 50m,non-stop,No info,5403
4517,Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,09:20 19 May,13h 20m,1 stop,In-flight meal not included,10844
274,Air India,9/04/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,09:25 10 Apr,27h 20m,1 stop,No info,4487
7354,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,09:20 25 May,14h 25m,1 stop,In-flight meal not included,10844
6411,Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,01:30 13 Jun,7h 15m,1 stop,No info,13377
1524,IndiGo,24/05/2019,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,non-stop,No info,3597
6674,Jet Airways,1/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229
9180,Air India,1/04/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,18:30 02 Apr,30h 30m,2 stops,No info,9258
6870,Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,20:25 25 Mar,24h 5m,1 stop,No info,11105
861,IndiGo,27/04/2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,6015
1046,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 10 Jun,7h 30m,1 stop,No info,14924
8330,IndiGo,9/05/2019,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,4804
2307,Air Asia,27/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,22:25,14h 30m,1 stop,No info,6152
2255,SpiceJet,24/04/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 25 Apr,2h 55m,non-stop,No check-in baggage included,3573
9962,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,16:20 25 Mar,19h 10m,1 stop,No info,13759
2895,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 10 Jun,14h 50m,1 stop,No info,14571
